Open,High,Low,Close,Volume,target
0.011121629,0.010364817,0.011253761,0.011335726,0.011231959,0
0.011358258,0.010601096,0.011111111,0.010658731,0.011987956,0
0.010640479,0.0096481,0.010112537,0.009666854,0.014903945,0
0.009686069,0.008962889,0.009510224,0.009131557,0.023111915,0
0.009149708,0.008710857,0.009446822,0.00925751,0.027539899,0
0.009275911,0.008726605,0.009129814,0.008816675,0.0273239,0
0.0088342,0.008380063,0.008765256,0.009351972,0.039311855,0
0.009370561,0.008915629,0.009637027,0.009194534,0.024299911,0
0.00921281,0.008695103,0.009637027,0.009509411,0.012743953,0
0.009528313,0.008537581,0.009320019,0.009005604,0.014039948,0
0.009023505,0.008191038,0.009224914,0.009163043,0.010583961,0
0.009181257,0.008191038,0.009256618,0.009068581,0.005723979,0
0.009055053,0.008065022,0.0085592,0.008123935,0.014471947,0
