open,high,low,close,VolumeBTC,target
0.916264911,0.904616646,0.90544286,0.908014303,2.00E-06,0
0.921814474,0.903707611,0.915428397,0.916514088,2.00E-06,0
0.897032136,0.912360679,0.907780767,0.921993412,5.03E-06,0
0.865305869,0.905854523,0.851356176,0.896638723,4.88E-06,0
0.892913296,0.89080811,0.876697641,0.865081532,4.51E-06,0
0.934020514,0.917125522,0.902870906,0.892713622,2.54E-06,0
0.901113281,0.923443997,0.915579386,0.933861003,2.24E-06,0
0.907385848,0.890929208,0.89802958,0.901348131,1.56E-06,0
0.89836165,0.894418958,0.899899694,0.907707465,1.37E-06,0
0.92075475,0.92378345,0.904742986,0.898269656,4.09E-06,0
0.977447964,0.966041628,0.933431774,0.920774515,5.04E-06,0
0.951543129,0.971164677,0.958833604,0.976724632,3.98E-06,0
0.917897755,0.934566277,0.925867202,0.950778373,4.21E-06,0
0.910544985,0.90810785,0.890510397,0.918032702,7.45E-06,0
0.901132722,0.894049994,0.889300065,0.910678072,1.63E-06,0
0.913274505,0.903354056,0.906959859,0.900756117,1.64E-06,0
0.848973273,0.911973979,0.858194549,0.91243453,5.45E-06,0
0.849349615,0.848082113,0.857491951,0.848844607,2.43E-06,0
0.828703776,0.836799339,0.818162838,0.848888675,4.35E-06,0
0.850746949,0.835739693,0.813291254,0.828426933,4.18E-06,0
0.808705257,0.837989968,0.821664478,0.850530439,2.53E-06,0
0.813565205,0.819166833,0.769280579,0.809426977,2.25E-06,0
0.798255233,0.803917621,0.809746345,0.813313946,1.37E-06,0
0.7962272,0.813453557,0.808964622,0.798184044,2.87E-06,0
0.819139254,0.801711831,0.803919809,0.795667463,3.04E-06,0
0.762180256,0.808103722,0.760636392,0.818787038,5.75E-06,0
0.728968358,0.751620506,0.74015698,0.761742956,2.86E-06,0
0.713344075,0.716960694,0.707251095,0.728224402,3.54E-06,0
0.704641756,0.712527018,0.71057754,0.713294805,1.51E-06,0
0.712669894,0.699970605,0.715846718,0.705132276,1.76E-06,0
0.64811386,0.701979265,0.65265108,0.71234417,4.46E-06,0
0.614012898,0.638271736,0.624462462,0.647987744,3.39E-06,0
0.606394789,0.616148275,0.61420687,0.613987269,2.34E-06,0
0.623173772,0.618808656,0.616294691,0.60665905,2.91E-06,0
0.63813174,0.642050929,0.635085086,0.623585768,2.51E-06,0
0.63125014,0.635925949,0.61508436,0.638644598,2.15E-06,0
0.633279954,0.622177889,0.628422212,0.631484933,1.14E-06,0
0.663817982,0.653422238,0.613348594,0.633359052,5.63E-06,0
0.644411727,0.651289136,0.649836,0.663850023,3.00E-06,0
0.601614235,0.637023101,0.611637639,0.644354051,3.94E-06,0
0.635761052,0.6313751,0.596403046,0.599945695,7.72E-06,0
0.698902093,0.685036277,0.639986475,0.636140926,5.49E-06,0
0.714472062,0.700373151,0.70664593,0.698595635,1.29E-06,0
0.699768006,0.706834822,0.709564341,0.714642195,1.88E-06,0
0.706553295,0.697312696,0.704408935,0.699484844,2.02E-06,0
0.712707142,0.702051953,0.70929353,0.706242711,2.44E-06,0
0.696912792,0.701481643,0.704259459,0.71203377,1.69E-06,0
0.66515462,0.684147158,0.674030222,0.696487677,2.13E-06,0
0.680820456,0.678658343,0.654299097,0.664901108,2.99E-06,0
0.667813798,0.672782391,0.674768222,0.680638604,1.32E-06,0
0.663291163,0.665538161,0.674991982,0.667903022,1.17E-06,0
0.685698212,0.680595623,0.665267725,0.66316572,3.10E-06,0
0.681280644,0.686277933,0.686826753,0.685947594,3.36E-06,0
0.693506866,0.685794849,0.669986959,0.681483449,4.28E-06,0
0.779951737,0.766765629,0.646734677,0.692980696,8.82E-06,0
0.76644512,0.764636307,0.76964852,0.779651913,2.66E-06,0
0.739080772,0.751407094,0.746586865,0.766314228,1.28E-06,0
0.740092563,0.732085756,0.744896335,0.738625755,1.13E-06,0
0.728983792,0.739050137,0.729212558,0.739840646,2.88E-06,0
0.722246436,0.729455323,0.733348866,0.728708845,2.94E-06,0
0.696826869,0.711196101,0.701689925,0.722457825,2.84E-06,0
0.694616155,0.698640415,0.704210138,0.697272727,2.90E-06,0
0.721528626,0.708016583,0.706576487,0.69500779,2.17E-06,0
0.723970398,0.718930103,0.720841453,0.721793552,1.35E-06,0
0.726246704,0.713972782,0.727597976,0.723672567,8.97E-07,0
0.692966097,0.711966594,0.699126746,0.726122676,2.52E-06,0
0.725087701,0.714882836,0.698314765,0.692824458,2.71E-06,0
0.705030119,0.713230347,0.710276924,0.724806,2.46E-06,0
0.732414055,0.722237406,0.717745576,0.705807825,2.87E-06,0
0.729158607,0.731957389,0.739173586,0.732960963,3.13E-06,0
0.72303162,0.717098511,0.725106055,0.729110495,1.28E-06,0
0.72968691,0.721358172,0.728431895,0.72291556,2.29E-06,0
0.691503319,0.715587909,0.703404813,0.729913794,3.65E-06,0
0.66145041,0.681844548,0.662401358,0.691459561,3.59E-06,0
0.659926492,0.666240327,0.66668578,0.661144116,2.91E-06,0
0.679203787,0.682838629,0.669693151,0.660746769,4.26E-06,0
0.695445859,0.695803984,0.688402302,0.679088238,3.12E-06,0
0.697019047,0.686336811,0.686074381,0.695376649,2.24E-06,0
0.707763645,0.69747261,0.693634867,0.696733237,2.47E-06,0
0.656689593,0.693680914,0.667218931,0.707725566,3.80E-06,0
0.67336158,0.669076322,0.660351057,0.657038889,3.19E-06,0
0.674243224,0.677085084,0.683846615,0.673291838,3.37E-06,0
0.684424792,0.676669309,0.673104621,0.674328234,3.09E-06,0
0.648122467,0.673325952,0.645391966,0.684465036,6.42E-06,0
0.659821573,0.656258523,0.652768633,0.648343695,4.72E-06,0
0.63359471,0.647654301,0.636915713,0.659538852,6.33E-06,0
0.604459061,0.627561306,0.601036498,0.633479087,3.80E-06,0
0.587378232,0.598790821,0.562011329,0.604369186,7.52E-06,0
0.564093991,0.578030842,0.564749703,0.587253439,5.28E-06,0
0.578693128,0.575397938,0.567140108,0.564046916,4.25E-06,0
0.589343492,0.585086955,0.583004829,0.578713444,3.12E-06,0
